Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
2024-10-31,21:58:49,"""CNR7670041""",Completed,"""CID3716096""",eBike,Karkarduma,Anand Vihar ISBT,11.0,24.4,,,,,,,235.0,29.86,3.1,4.5,UPI
2024-10-26,08:09:13,"""CNR3060248""",No Driver Found,"""CID6312698""",Go Sedan,Hero Honda Chowk,Palam Vihar,,,,,,,,,,,,,
2024-05-28,20:53:03,"""CNR4253198""",Completed,"""CID1937451""",Auto,Mansarovar Park,Dwarka Mor,5.5,22.9,,,,,,,640.0,2.51,4.2,4.6,Credit Card
2024-01-09,20:48:06,"""CNR6489600""",Cancelled by Driver,"""CID3062848""",Go Mini,Aya Nagar,Greater Noida,7.5,,,,1.0,The customer was coughing/sick,,,,,,,
2024-03-19,16:36:04,"""CNR1508947""",Completed,"""CID7278363""",Uber XL,Gurgaon Railway Station,DLF Phase 3,14.4,27.1,,,,,,,465.0,43.63,4.2,4.3,Debit Card
2024-08-05,14:44:45,"""CNR3132748""",Completed,"""CID8178237""",Go Sedan,Saidulajab,Jama Masjid,14.3,39.6,,,,,,,186.0,9.22,4.2,3.8,UPI
2024-11-21,17:41:38,"""CNR5297063""",Completed,"""CID6955166""",Uber XL,Tagore Garden,Satguru Ram Singh Marg,4.5,15.6,,,,,,,206.0,28.57,4.4,4.3,Cash
2024-12-30,15:49:27,"""CNR6837845""",Completed,"""CID4138360""",Go Sedan,Indirapuram,Noida Sector 18,11.0,43.4,,,,,,,286.0,33.13,4.4,4.3,UPI
2024-06-13,11:05:37,"""CNR7785331""",Cancelled by Driver,"""CID1121213""",Bike,Kashmere Gate ISBT,Jor Bagh,6.7,,,,1.0,Personal & Car related issues,,,,,,,
2024-06-15,12:48:57,"""CNR2728406""",Completed,"""CID6155933""",Auto,DLF City Court,New Delhi Railway Station,13.9,18.7,,,,,,,181.0,47.71,4.3,4.2,Credit Card
2024-11-10,14:45:58,"""CNR4952839""",Completed,"""CID7710095""",eBike,Shastri Nagar,Gurgaon Sector 56,8.6,36.7,,,,,,,886.0,28.58,4.9,4.3,Debit Card
2024-07-17,04:20:56,"""CNR8234479""",Completed,"""CID6227537""",Premier Sedan,Mundka,IIT Delhi,5.9,37.5,,,,,,,218.0,49.2,4.4,4.3,Uber Wallet
2024-06-20,16:21:34,"""CNR4882562""",Completed,"""CID4251867""",Go Mini,Saket A Block,Delhi Gate,10.5,17.3,,,,,,,675.0,4.24,4.2,3.9,Uber Wallet
2024-11-23,17:08:18,"""CNR8001244""",Cancelled by Driver,"""CID4358151""",Auto,Subhash Chowk,Badshahpur,9.1,,,,1.0,The customer was coughing/sick,,,,,,,
2024-06-13,16:20:17,"""CNR6810815""",Cancelled by Driver,"""CID1845110""",Premier Sedan,IMT Manesar,Ardee City,7.5,,,,1.0,More than permitted people in there,,,,,,,
2024-10-30,15:19:27,"""CNR6800779""",Completed,"""CID4618421""",Go Sedan,Shastri Park,Karkarduma,6.7,26.2,,,,,,,210.0,36.0,4.2,4.8,UPI
2024-09-07,08:55:23,"""CNR2578452""",No Driver Found,"""CID2187385""",Auto,Ashram,Sushant Lok,,,,,,,,,,,,,
2024-05-25,18:45:18,"""CNR8299315""",Completed,"""CID4796029""",eBike,Model Town,Janakpuri,6.3,35.7,,,,,,,413.0,22.21,3.4,3.9,Credit Card
2024-02-29,09:37:15,"""CNR1875166""",Completed,"""CID8217290""",Auto,Moolchand,Anand Vihar ISBT,13.2,20.2,,,,,,,225.0,3.87,4.4,5.0,Debit Card
2024-11-26,10:28:25,"""CNR6859485""",Completed,"""CID4880151""",Go Sedan,Seelampur,Ardee City,5.3,18.6,,,,,,,138.0,39.62,4.9,5.0,Cash
2024-10-21,16:27:47,"""CNR1162405""",Cancelled by Driver,"""CID6812569""",Bike,Greater Noida,DLF Phase 3,8.0,,,,1.0,Personal & Car related issues,,,,,,,
2024-02-26,22:25:58,"""CNR5112249""",Cancelled by Customer,"""CID1255491""",Go Sedan,Cyber Hub,IGI Airport,11.4,,1.0,AC is not working,,,,,,,,,
